FÃ³rmula del compuesto,A,B,C,D,E,F,G,H,T_min,T_max
CCl4,103.1134,4.188644,-1.126475,0.095677,-1.919624,-133.3557,422.4334,-95.98096,298,6000
CHCl3,44.24706,114.6734,-88.81837,25.89992,-0.522808,-122.4891,315.7451,-103.177,298,1200
CH2Cl2,19.17351,136.8444,-95.12993,26.03105,-0.119405,-106.9338,256.0144,-95.52114,298,1200
CH4,-0.703029,108.4773,-42.52157,5.862788,0.678565,-76.84376,158.7163,-74.8731,298,1300
CS2,35.85391,25.49121,-40.83743,12.00155,-0.224831,103.503,266.1597,116.9432,298,1000
C2H4,-6.38788,184.4019,-112.9718,28.49593,0.31554,48.17332,167.1568,52.46694,298,1200
O2,31.32234,-20.23531,57.86644,-36.50624,-0.007374,-8.903471,246.7945,0,298,700
N2,28.98641,1.853978,-9.647459,16.63537,0.000117,-8.671914,226.4168,0,298,500
C2H2,40.68697,40.73279,-16.1784,3.669741,-0.658411,210.7067,235.0052,226.7314,298,1100
NO,23.83491,12.58878,-1.139011,-1.497459,0.214194,83.35783,237.1219,90.29114,298,1200
CO,25.59759,6.09613,4.054956,-2.671301,0.131021,-118.0089,227.3665,-110.5271,298,1300
H2,33.066178,-11.363417,11.432816,-2.772874,-0.158558,-9.980797,172.707974,0,298,1000
CH3Cl,3.52469,136.9277,-82.14196,20.22797,0.278032,-89.19995,202.8391,-83.68,298,1200
CF4,15.96778,210.3318,-189.4657,62.20227,-0.217317,-946.4877,224.6766,-933.1994,298,1000
CO2,24.99735,55.18696,-33.69137,7.948387,-0.136638,-403.6075,228.2431,-393.5224,298,1200
H2O,-203.606,1523.29,-3196.413,2474.455,3.855326,-256.5478,-488.7163,-285.8304,298,500
SO2,21.43049,74.35094,-57.75217,16.35534,0.086731,-305.7688,254.8872,-296.8422,298,1200
I2,-195.7635,918.8984,-1079.242,534.3219,5.156403,43.29938,-322.478,0,298,386.75
H2S,26.88412,18.67809,3.434203,-3.378702,0.135882,-28.91211,233.3747,-20.50202,298,1400
NH3,19.99563,49.77119,-15.37599,1.921168,0.189174,-53.30667,203.8591,-45.89806,298,1400
N2O,27.67988,51.14898,-30.64454,6.847911,-0.157906,71.24934,238.6164,82.04824,298,1400
HCl,32.12392,-13.45805,19.86852,-6.853936,-0.049672,-101.6206,228.6866,-92.31201,298,1200
HCN,32.69373,22.59205,-4.369142,-0.407697,-0.282399,123.4811,233.2597,135.1432,298,1200
CHF3,6.463694,185.4332,-140.887,39.84921,0.064514,-705.845,218.4579,-697.0544,298,1200
Cl2,33.0506,12.2294,-12.0651,4.38533,-0.159494,-10.8348,259.029,0,298,1000
CBr4,105.1468,2.487623,-0.670708,0.057056,-1.342609,14.25271,476.976,50.208,298,6000
CH2F2,-6.098682,179.22,-122.3682,32.30207,0.491361,-454.1439,193.7979,-450.6586,298,1200
TiO,41.78808,18.24542,-0.372713,0.065211,-0.644729,-558.0996,76.27892,-542.6648,298,2023
HF,30.11693,-3.246612,2.868116,0.457914,-0.024861,-281.4912,210.9226,-272.5462,298,1000
HBr,31.71409,-13.69992,23.35567,-9.008529,-0.028758,-45.57464,240.0428,-36.44306,298,1100
CH3F,-8.802593,154.8561,-91.15011,21.55007,0.0680703,-235.5169,173.7096,-234.3044,298,1200
Br2,38.52723,-1.976835,1.526107,-0.198398,-0.185815,18.8762,291.4863,30.91001,298,3400
CCl2O,36.64799,115.1274,-128.6208,57.6869,-0.299915,-236.1052,297.341,-220.0784,298,600
HNO3,19.63229,153.9599,-115.8378,32.87955,-0.249114,-146.8818,247.7049,-134.306,298,1200
NO2,16.10857,75.89525,-54.3874,14.30777,0.239423,26.17464,240.5386,33.09502,298,1200
S,21.21978,3.865858,22.27461,-10.31908,-0.122518,-7.085604,54.99575,0,298,388
B2H5,-12.42167,267.6112,-152.2612,33.15879,0.300489,35.09886,146.5115,41.00303,298,1200
N2H4,48.1775,170.486,-100.834,45.1135,0.674292,31.7431,136.871,50.6264,298,800
BaO,47.4273,13.1362,-3.796501,0.725938,-0.336757,-563.931,123.792,-548.104,298,2286
ClO2,24.12473,81.01898,-73.80702,24.54401,-0.033548,94.29481,265.1367,104.6,298,1000
F2,31.4451,8.413831,-2.77885,0.218104,-0.211175,-10.4326,237.277,0,298,6000
H2O2,34.25667,55.18445,-35.15443,9.08744,-0.422157,-149.9098,257.0604,-136.1064,298,1500
PH3,11.90009,84.46701,-38.04294,5.695428,0.289233,16.87884,202.7286,5.46989,298,1200
O3,21.66157,79.86001,-66.02603,19.58363,-0.079251,132.9407,243.6406,142.674,298,1200
KCl,35.41597,70.03472,-91.38233,52.52426,0.15346,-449.1357,108.9982,-436.6841,298,900
SrO,48.55114,8.748034,-0.893966,0.115057,-0.507804,-608.6339,108.7489,-592.036,298,2938
NaCl,50.72389,6.672267,-2.517167,10.15934,-0.200675,-427.2115,130.3973,-411.1203,298,1073
Fe,18.42868,24.64301,-8.91372,9.664706,-0.012643,-6.573022,42.51488,0,298,700
BeO,3.358974,131.5922,-140.4937,56.20953,-0.536669,-615.8764,-18.67884,-608.3536,298,800
HI,26.0454,4.689678,4.911765,-2.654397,0.121419,18.75499,237.2018,26.35903,298,1400
PbO,51.65148,10.49858,-2.693856,1.758934,-0.787718,-237.9006,121.3385,-219.4094,298,1159
Ca,19.77517,10.10813,14.50338,-5.529491,0.178031,-5.862997,62.91606,0,298,1100
SO,22.56414,29.93305,-22.87987,6.408968,47560,-2.702237,241.5511,5.006993,298,1400
LiCl,43.74372,20.37056,0.30643,-0.094178,-0.160419,-422.7514,105.2586,-408.2664,298,883
Ti,22.61942,18.98795,-18.18735,7.080792,-0.143457,-7.92279,52.40962,0,298,700
SiCl4,105.5862,2.123083,-0.573518,0.048847,-1.449627,-699.1757,449.872,-662.7456,298,6000
LiF,41.75837,18.7111,0.693674,-0.992621,-0.487055,-631.8342,77.92072,-616.9308,298,1121
AlO,35.53572,-3.947982,7.68467,-1.626841,-0.0371449,55.19826,260.0975,66.944,298,2000
KBr,39.22249,63.36459,-94.72785,60.44918,0.091212,-407.2932,128.6848,-393.4985,298,900
PCl3,81.94782,1.019637,-0.276076,0.023549,-0.964224,-316.405,405.0924,-288.6964,298,6000
PO,24.28561,18.86465,-1.520015,-7.365932,0.194004,-30.94863,247.7652,-23.54801,298,600
SO3,24.02503,119.4607,-94.38686,26.96237,-0.117517,-407.8526,253.5186,-395.7654,298,1200
KI,73.62376,-85.43644,130.0973,-48.86619,-0.502415,-348.7987,212.7614,-327.9005,298,954
KF,46.53612,13.96661,-2.385212,2.844677,-0.14077,-583.5592,117.9905,-568.6056,298,900
MgO,47.25995,5.681621,-0.872665,0.1043,-1.053955,-619.1316,76.46176,-601.2408,298,3105
Ba,83.8018,-406.186,915.066,-519.805,-0.191854,-14.6314,247.84,0,298,583
TiCl4,143.048,7.600362,1.530575,-0.538376,-0.020638,-875.2307,392.5973,-804.1648,298,1000
BeF2,114.2533,-256.7867,389.9634,0,-1.825756,-1058.92,240.6896,-1026.754,298,500
Cs,57.04424,-50.0034,48.5595,-16.72822,-1.223804,-19.28397,160.2012,0,298,301
Cu,17.72891,28.0987,-31.25289,13.97243,0.068611,-6.056591,47.89592,0,298,1358
Ni,13.6916,82.49509,-174.9548,161.6011,-0.092417,-6.833644,27.669,0,298,600
CaO,49.95403,4.887916,-0.352056,0.046187,-0.825097,-652.9718,92.56096,-635.0894,298,3200
LiBr,71.38155,-81.89008,118.8879,-32.37918,-0.689063,-371.8563,175.9673,-350.9125,298,823
Al,28.0892,-5.414849,8.560423,3.42737,-0.277375,-9.147187,61.90981,0,298,933
NaI,50.19963,10.22787,0.564543,-0.221018,-0.094625,-303.6036,155.644,-287.8592,298,933
Mg,26.54083,-1.533048,8.062443,0.57217,-0.174221,-8.501596,63.90181,0,298,923
FeO,45.7512,18.78553,-5.952201,0.852779,-0.081265,-286.7429,110.312,-272.0441,298,1650
Mn,27.2419,5.23764,7.78316,-2.118501,-0.28113,-9.366891,61.4964,0,298,980
Si,22.81719,3.89951,-0.082885,0.042111,-0.354063,-8.163946,43.27846,0,298,1685
LiI,101.5068,-192.2945,285.8199,-121.6126,-1.447109,-298.9757,246.0527,-270.0772,298,742
K,-63.4741,-3226.34,14644.6,-16229.5,16.2941,119.648,533.878,0,298,336
LiH,15.45842,52.9322,-99970,0.029244,-0.291667,-98.565,21.32355,-90.62502,298,961
NaF,53.0022,-5.95215,12.5635,0.378227,-0.489113,-592.674,113.814,-575.384,298,1269
Co,10.9943,54.375,-55.5132,25.817,0.164533,-4.7033,30.3258,0,298,700
WO3,30.5396,200.867,-206.248,76.5193,-0.088904,-859.57,60.9683,-842.909,298,1050
Li,169.552,-882.711,1977.438,-1487.312,-1.609635,-31.24825,4313.6466,0,298,453
Na,72.63675,-9.491572,-730.9322,1414.518,1.259377,21.79467,155.0963,0,298,370
BF3,21.28631,130.3006,-109.9919,34.28838,-0.073386,-1147.102,245.4376,-1135.621,298,1000
ZrO,2802410,17.7527,-17.905,13.8875,-0.112231,49.1847,256.286,58.576,298,1000
BaCl2,49.8765,101.446,-123.107,60.9448,0.390979,-875.65,160.945,-585.557,298,1198
PF3,39.66369,110.8434,-108.4355,37.88286,-0.480131,-975.9222,289.7943,-958.4414,298,1000
NaBr,50.18122,10.12185,0.962764,-0.028406,-0.165604,-377.388,143.5635,-361.4143,298,1020
B,10.18574,29.24415,-18.02137,4.212326,-0.550999,-6.036299,7.089077,0,298,1800
Zn,25.60123,-4.405292,20.42206,-7.399697,-0.045801,-7.755964,72.91373,0,298,692
Cr,7.489737,71.50498,-91.67562,46.0445,0.138157,-4.228643,15.80912,0,298,600
H2SO4,47.28924,190.3314,-148.1299,43.86631,-0.740016,-758.9525,301.2961,-735.1288,298,1200
N2O4,89.16313,178.9141,0.929459,0,-0.007107,-54.13217,263.6757,-19.56401,298,500
PbF2,71.72213,8.009725,24.22733,-7.982026,-0.336354,-700.0669,194.3857,-676.9712,298,1000
Sr,23.88223,9.297351,0.919924,0.035243,0.004934,-7.525384,81.80933,0,298,1050
Pb,25.0145,5.441836,4.061367,-1.236214,-0.010657,-7.772575,93.19902,0,298,600
MoO3,93.31366,-22.81113,52.63054,-12.74279,-1.416934,-77731654,187.3106,-745.1704,298,1074
SrCl2,54.42882,113.7676,-177.4497,115.0826,-0.003286,-848.8081,153.6084,-828.8504,298,1000
AlF3,-27.17362,594.2661,-1042.272,662.4444,0.019262,-1520.775,-103.0051,-1510.424,298,303
MgF2,68.55149,22.72586,-12.16218,2.573717,-1.140865,-1149.445,127.4522,-1124.241,298,1536
PbI2,133.2817,-221.898,304.1651,-104.2582,-1.22898,-211.8723,382.7753,-175.3933,298,683
Zr,29.01663,-12.55597,20.74954,-5.914,-0.157249,-8.791924,75.97265,0,298,1700
KOH,80.78258,-112.2329,301.1543,-147.9923,-0.468867,-447.7591,195.4108,-424.7178,298,516
SrF2,36.5194,168.769,-230.884,111.204,0.068095,-1233.47,85.6651,-1217.13,298,1000
WCl6,125.536,167.282,0.138482,-0.084928,-0.000256,-638.575,340.525,-593.71,298,450
FeCl2,73.66852,22.54009,-10.12172,1.4662,-0.252648,-365.5636,199.3923,-341.8332,298,950
BaF2,50.752,114.029,-162.777,92.2164,-0.045675,-1227.86,129.972,-1208.76,298,900
Al2O3,102.429,38.7498,-15.9109,2.628181,-3.007551,-1717.93,146.997,-1675.69,298,2327
Fe(CO)5,233.7852,0.000014,-0.000022,0.000012,0.00000006567542,-835.7958,619.9977,-766.0904,298,700
Ni(CO)4,186.0001,58.69901,-5.142973,2.651126,0.019514,-689.745,527.4643,-631.784,298,700
P,16.45576,43.28892,-58.73876,25.60646,-0.08672,-6.657121,49.9716,0,298,317
CaF,34.53716,6.332066,-4.445333,1.139973,-0.214336,-283.2212,268.5346,-271.9604,298,1600
Cl2O,56.28944,1.617418,-0.436174,0.037109,-0.819554,-0.819554,330.9406,87.864,298,6000
CuO2,59.42033,37.84767,-26.45083,11.07609,-0.54218,-191.7109,151.0177,-170.7072,298,1100
CaCl,38.47247,-1.065063,0.490771,-0.003362,-0.239129,-116.8328,287.0128,-104.6,298,6000
NiS,54.93383,-27.95795,79.08178,-46.34784,-0.469746,-105.1862,122.0485,-87.864,298,652
N2O3,39.09663,114.8006,-81.97125,21.77249,-0.088738,66.46786,324.5776,82.8432,298,1100
NOCl,39.09814,27.16847,-13.31935,2.074453,-0.131591,38.52175,300.7292,51.71424,298,1000
CrO,51.71424,21.35694,-16.56504,4.565706,-0.106995,178.9124,266.2589,188.28,298,1400
FeCl3,979.1104,-4704.364,9295.174,-6246.963,-12.49577,-593.9774,2301.472,-399.4055,298,577
H,20.78603,4.85E-10,-1.58E-10,1.53E-11,3.20E-11,211.802,139.8711,217.9994,298,6000
SiBr4,146.44,0,0,0,0,-500.9712,455.4535,-457.3112,298,800
CrO2,36.8374,110.7024,-101.1478,32.87448,-0.508795,-309.6641,279.0866,-292.8804,298,1100
CrO3,27.9756,70.09204,-62.57674,19.98098,-0.041121,-86.39416,284.5681,-75.312,298,1100
SOF2,37.57638,107.8434,-100.1135,33.68722,-0.411491,-560.4803,294.285,-543.92,298,1000
BO2,24.73485,81.21939,-68.67659,21.03979,-0.012035,-294.9728,238.3282,-284.5124,298,1100
N3,25.34031,65.40471,-46.63947,12.37958,-0.023098,404.0644,239.4687,414.2164,298,1100
CH2ClF,6.818874,158.6351,-110.1622,29.79627,0.168663,-269.5241,230.9514,-261.9184,298,1200
CaBr2,103.1402,-71.94304,75.73542,-17.10511,-1.1524,-715.3176,266.2129,-683.2472,298,1015
CaS,48.6026,7.280161,-1.933724,0.329739,-0.289224,-488.9966,111.645,-473.2104,298,3000
K2SO4,139.505,-1.199884,136.808,-47.14322,-1.663999,-1485.964,329.6528,-1437.706,298,1200
HFO,24.78773,45.03365,-30.03238,8.137128,0.013346,-107.4229,244.6766,-98.324,298,1300
CaI2,71.469,19.24837,0.44801,-0.138429,-0.007944,-559.0033,225.9745,-536.8072,298,1052
BaF ,35.57906,4.763777,-3.812177,1.159417,-0.173059,-333.5376,287.0492,-322.1684,298,1300
Li2SO4,130.4203,25.11396,104.2193,-33.70869,-2.550089,-1485.814,245.5196,-1436.367,298,1132
N2O5,23.85152,337.9894,-353.453,134.8407,-0.042447,-8.123279,288.9203,11.29701,298,800
SCl2,91.002,-0.000001,0.000002,-9.05E-07,-6.89E-09,-76.92242,293.8047,-49.79002,298,800
BBr3,128.03,4.70E-07,-5.90E-07,2.49E-07,3.34E-09,-276.6603,383.8021,-238.4884,298,1000
Si2,24.19988,31.5828,-8.262313,-3.875582,0.150614,581.9149,250.9182,589.944,298,1100
BCl3,35.2897,137.5072,-157.7067,66.77204,-0.146399,-418.8268,297.4736,-402.9615,298,700
F2O,15.06976,136.2612,-172.8088,81.40767,0.071893,15.57553,232.4333,24.51803,298,600
KBO2,41.74954,119.6164,-71.80664,15.10098,-0.390727,-1013.432,95.68557,-994.9552,298,1220
SiCl2 ,57.28398,0.996667,-0.41324,0.063232,-0.571313,-187.6511,347.1335,-168.6152,298,6000
CoCl2,79.30939,14.28782,-6.293698,1.317864,-0.402808,-338.1274,198.9802,-312.5452,298,1013
Cu2,37.4891,0.677431,-0.044592,0.021154,-0.100398,473.8003,286.3136,485.344,298,6000
HNO2,24.89974,91.37563,-64.84614,17.92007,-0.134737,-88.13596,254.2671,-76.73498,298,1200
PO2,11.26546,135.788,-159.4602,70.27446,0.175039,-322.0613,234.2843,-314.5243,298,600
BH3,22.88661,33.51995,10.25691,-8.515151,0.238611,99.10683,206.5461,106.692,298,1300
BaBr2,70.5686,21.62065,-0.001626,0.001652,-0.000068,-779.7261,227.4849,-757.7224,298,1130
MgBr2,85.69418,-16.67119,25.90026,-5.87827,-0.859787,-552.1792,219.847,-524.2552,298,984
CaF2,89.88404,-46.12023,65.27793,-17.86271,-1.139438,-1255.008,182.0057,-1225.912,298,1424
Na2O,25.5754,177.71,-166.335,57.6116,0.338149,-431.016,61.794,-417.982,298,1023
HBO2,179.5823,-477.658,719.8781,-327.844,-3.376933,-852.1553,360.5294,-802.7841,298,900
BeSO4,122.3883,-49.99127,138.6829,-32.91398,-2.957486,-1246.179,218.414,-1200.808,298,900
Mg2,21.4619,-2.454191,3.197761,-1.440731,0.294835,282.299,268.42,287.625,298,800
CuF2,57.97727,59.88224,-32.64729,5.957639,-0.678662,-560.8736,127.2438,-538.8992,298,1109
HSiCl3,64.28214,85.31427,-72.09409,23.43032,-0.754664,-521.1214,364.8201,-496.2224,298,1000
FeS,9240.57,-55016.8,121502,-93187.1,-99.3593,-1634.01,22510.2,-101.671,298,411
Br ,21.29811,-1.778745,1.593293,0.289877,-0.011693,105.5351,201.1822,111.8601,298,900
CuO ,48.56494,7.498607,-0.05598,0.013851,-0.760082,-173.4272,94.85128,-156.0632,298,2000
HNO,19.85936,19.85936,-25.41065,5.234644,0.230115,92.51033,232.8199,99.5792,298,1200
SiH ,23.55128,13.41432,-2.70094,-0.515586,0.249938,369.9087,224.0766,376.6625,298,1400
H3BO3,40.82396,195.2296,-86.64855,13.6021,-0.919735,-1117.203,78.45126,-1093.99,298,1500
AlBr3,124.9652,-3.40E-08,3.29E-08,-1.03E-08,-3.98E-10,-538.6398,357.7086,-501.3813,298,370
BN,-1.626426,101.9817,-81.52482,25.65093,-0.223052,-255.0479,-15.45766,-250.9145,298,1100
SrBr2,72.84511,26.09762,-32.30638,28.83864,-0.147991,-741.1245,224.1499,-717.9744,298,918
NbO2,66.4998,-11.2606,49.6152,-16.4663,-0.858315,-817.57,131.457,-794.96,298,1090
S2Cl2,124.2903,0,0,0,0,-95.21529,374.255,-58.15802,298,1000
FeBr2,74.1622,19.5915,4.61249,-2.775301,-0.00954,-271.998,224.338,-248.948,298,650
FeF3,86.66,17.0956,-2.794011,0.582977,0.293204,-1066.88,201.311,-1041.82,298,367
SF2,33.79492,62.6805,-61.65417,21.62843,-0.238158,-309.8064,281.1188,-296.6464,298,298
He,20.78603,4.85E-10,-1.58E-10,1.53E-11,3.20E-11,-6.197341,151.3064,0,298,6000
F,21.97336,-0.958182,0.251916,-0.021107,0.103471,73.22586,186.2286,79.39014,298,6000
Cs2,29.19892,42.43789,-56.01497,18.04082,0.077239,97.48594,310.0997,107.366,298,1500
Ta,20.69482,17.29992,-15.68987,5.608694,0.061581,-6.60344,62.35541,0,298,1300
BaI2,73.11875,15.1234,5.007997,-1.627769,-0.048376,-628.1021,248.6359,-605.4248,298,984
CaCl2,87.29581,-35.07644,44.12781,-9.848049,-0.674264,-822.9008,215.0522,-795.7968,298,1045
NaOH,419.4837,-1717.754,2953.573,-1597.221,-6.046884,-517.8662,933.0738,-425.9312,298,572
HClO,30.54353,33.68965,-20.94787,5.421962,-0.143287,-85.38665,263.4945,-74.4752,298,1400
BeCl2,57.5226,48.3527,-28.266,5.565141,-0.635258,-517.416,128.633,-496.222,298,6800
MgCl2,78.30733,2.435888,6.858873,-1.728967,-0.729911,-667.5823,179.2639,-641.6164,298,987
SiF2,31.80677,67.03354,-65.39215,22.79765,-0.185259,-600.404,276.7444,-587.852,298,1000
ZrO2,69.20001,8.54829,-0.862921,0.246374,-1.382767,-1123.115,123.7954,-1097.463,298,1478
NaH,22.24729,71.68112,-43.55126,9.435674,-0.321076,-66.96785,45.6261,-56.44216,298,1500
HgCl2,68.10715,25.82377,-4.640057,0.361514,-0.132167,-251.976,218.6784,-230.1204,298,550
FeF2,61.53451,39.87026,-23.89562,4.905782,-0.297405,-726.765,148.8768,-705.8408,298,1373
NS,21.05426,34.54248,-28.48162,8.680881,0.24379,256.8319,239.8286,263.5924,298,1000
FeI2,81.76247,7.503125,-7.728727,4.069865,0.022888,-129.1743,264.5054,-104.6,298,650
SO2F2,39.63298,143.5786,-117.0968,34.33537,-0.635612,-777.9269,290.0951,-758.5592,298,1200
S2O ,52.7489,4.57646,-1.232311,0.104897,-0.942963,-75.5988,324.111,-56.484,298,6000
NiCl2,60.62323,89.73676,-131.7843,65.88503,-0.514013,-327.6997,147.1065,-304.9303,298,1100
B2O3,5.431501,272.5617,-252.4956,97.6554,-0.377274,-1284.902,-12.50564,-1271.936,298,723
FCN,31.47113,54.06941,-49.18543,20.8023,-0.129733,24.15381,248.6401,35.98202,298,600
ClCN,18.92302,135.0231,-199.863,114.0684,0.074149,128.0898,227.2644,137.9461,298,600
PBr3,82.68086,0.396137,-0.107517,0.009187,-0.607864,-172.7285,444.7425,-146.022,298,6000
V,26.30167,1.396587,2.214139,0.403977,-0.176428,-8.520173,59.25297,0,298,2190
Cs2SO4,30.70156,524.3305,-761.5591,486.9632,0.257807,-1468.479,123.6661,-1442.643,298,800
LiO2,68.6971,5.467149,23.18308,-9.495631,-1.60244,-625.0352,109.3928,-598.7304,298,1600
Cl,13.38298,42.33999,-64.74656,32.99532,0.063319,116.1491,171.7038,121.3021,298,600
PbCl2,68.81676,28.22531,0.593413,-0.167595,-0.016515,-381.2385,210.728,-359.4064,298,774
CCl3,55.98694,62.94033,-55.10412,17.00624,-0.593982,58.46471,344.7721,79.496,298,1200
Ne,20.78603,4.85E-10,-1.58E-10,1.53E-11,3.20E-11,-6.197341,171.4821,0,298,6000
ClO ,18.71767,59.07975,-73.82291,34.56222,0.076445,93.85298,235.0906,101.2189,298,600
I ,20.70026,0.350748,-0.513059,0.25545,0.001783,100.5846,205.7633,106.7623,298,1600
Be,21.20694,5.68819,0.968019,-0.001749,-0.587526,-8.554858,30.06007,0,298,1527
Ta2O5,131.9759,80.02737,-33.89676,5.280459,-1.625722,-2094.125,271.0261,-2045.976,298,2058